figure_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,figure_kind,referenced_entities,source_locator,confidence,notes
CAL-FIG-P00118-001,118,113,CAL-CH3,CAL-SEC-3.1.2,標準断面図,cross_section,"AG1,AG2,PU15",CAL-P00118-TBL,HIGH,"8010x7000mm cross section with sound barrier, pavement t=80mm, slab t=230mm"
CAL-FIG-P00121-001,121,116,CAL-CH3,CAL-SEC-3.1.2,ハンチ荷重 断面図,cross_section,AG1 AG2,CAL-P00121-TBL,HIGH,"Haunch cross section 1660x500 with 1:5 slope"
CAL-FIG-P00121-002,121,116,CAL-CH3,CAL-SEC-3.1.2,壁高欄 断面図,cross_section,左側 右側,CAL-P00121-TBL,HIGH,"Wall rail cross section with 6 subdivided areas ①-⑥"
CAL-FIG-P00122-001,122,117,CAL-CH3,CAL-SEC-3.1.2,左側壁高欄荷重載荷図,plan_view,"S1,C1,C2,A-L1,A-L2",CAL-P00122-TBL,MEDIUM,"Left wall rail load distribution plan with nose deduction"
CAL-FIG-P00123-001,123,118,CAL-CH3,CAL-SEC-3.1.2,ノーズ部詳細図,plan_and_section,"C1,C2,S1,GE1,A-L1,A-L2,PU15",CAL-P00123-TBL,MEDIUM,"Nose section details with A-A, B-B section cuts"
CAL-FIG-P00126-001,126,121,CAL-CH3,CAL-SEC-3.1.2,ノーズ部床版打下ろし断面図,cross_section,"AG1,C1,C2,A-L1,A-L2,PU15,GE1",CAL-P00126-TBL,MEDIUM,"Nose slab drooping cross section with A-A through E-E cuts"
CAL-FIG-P00129-001,129,124,CAL-CH3,CAL-SEC-3.1.2,桁端部S1側 床版打下し図,cross_section,"AG1,AG2,GE1,S1",CAL-P00129-TBL,MEDIUM,"Girder end S1 slab drooping detail with notch dimensions"
CAL-FIG-P00130-001,130,125,CAL-CH3,CAL-SEC-3.1.2,桁端部S2側 床版打下し図,cross_section,"AG1,AG2,GE1,S2",CAL-P00130-TBL,MEDIUM,"Girder end S2 slab drooping detail"
CAL-FIG-P00131-001,131,126,CAL-CH3,CAL-SEC-3.1.2,中間支点PR1/PR2床版打下し図,cross_section,"AG1,AG2,PR1,PR2",CAL-P00131-TBL,MEDIUM,"Intermediate support slab drooping detail"
CAL-FIG-P00133-001,133,128,CAL-CH3,CAL-SEC-3.1.2,巻き立てコンクリート概要図,cross_section,"AG1,AG2,S1,PR1,PR2,S2",CAL-P00133-TBL,MEDIUM,"Wrapping concrete schematic with L1/L2/B/L3 dimensions"
CAL-FIG-P00137-001,137,132,CAL-CH3,CAL-SEC-3.1.2,荷重載荷図,load_diagram,"AG1,AG2",CAL-P00137-TBL,MEDIUM,"Load application diagram page 1"
CAL-FIG-P00138-001,138,133,CAL-CH3,CAL-SEC-3.1.2,荷重載荷図(格点集中荷重),load_diagram,"S1,C1,C2,PR1,PR2,S2,AG1,AG2",CAL-P00138-TBL,MEDIUM,"Load application diagram with panel point concentrated loads"
CAL-FIG-P00142-001,142,137,CAL-CH3,CAL-SEC-3.1.4,格点番号および部材番号図,numbering_diagram,"AG1,AG2,S1,S2,C1-C23,PR1,PR2",CAL-P00142-TBL,HIGH,"Panel point and member numbering diagram showing all nodes 1001-1027 and 2001-2027 with cross member numbers C1-C23"
