value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-VAL-P00819-001,819,814,CAL-CH3,CAL-SEC-3.6.2,S1 Ac,34200,cm2,34200,cm2,DIMENSION,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00819-002,819,814,CAL-CH3,CAL-SEC-3.6.2,S1 H,2280,mm,2280,mm,DIMENSION,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00819-003,819,814,CAL-CH3,CAL-SEC-3.6.2,S1 B,1500,mm,1500,mm,DIMENSION,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00819-004,819,814,CAL-CH3,CAL-SEC-3.6.2,S1 Asreq 0.15%,51.30,cm2,51.30,cm2,DERIVED_VALUE,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00819-005,819,814,CAL-CH3,CAL-SEC-3.6.2,D19 As,2.865,cm2,2.865,cm2,MATERIAL_PROPERTY,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00819-006,819,814,CAL-CH3,CAL-SEC-3.6.2,D25 As,5.067,cm2,5.067,cm2,MATERIAL_PROPERTY,CAL-P00819-TBL,HIGH,UNVERIFIED
CAL-VAL-P00820-001,820,815,CAL-CH3,CAL-SEC-3.6.2,S2 Ac,36000,cm2,36000,cm2,DIMENSION,CAL-P00820-TBL,HIGH,UNVERIFIED
CAL-VAL-P00820-002,820,815,CAL-CH3,CAL-SEC-3.6.2,S2 H,2400,mm,2400,mm,DIMENSION,CAL-P00820-TBL,HIGH,UNVERIFIED
CAL-VAL-P00820-003,820,815,CAL-CH3,CAL-SEC-3.6.2,S2 Asreq,54.00,cm2,54.00,cm2,DERIVED_VALUE,CAL-P00820-TBL,HIGH,UNVERIFIED
CAL-VAL-P00821-001,821,816,CAL-CH3,CAL-SEC-3.6.2,PR1 Ac,48000,cm2,48000,cm2,DIMENSION,CAL-P00821-TBL,HIGH,UNVERIFIED
CAL-VAL-P00821-002,821,816,CAL-CH3,CAL-SEC-3.6.2,PR1 H,2400,mm,2400,mm,DIMENSION,CAL-P00821-TBL,HIGH,UNVERIFIED
CAL-VAL-P00821-003,821,816,CAL-CH3,CAL-SEC-3.6.2,PR1 B,2000,mm,2000,mm,DIMENSION,CAL-P00821-TBL,HIGH,UNVERIFIED
CAL-VAL-P00821-004,821,816,CAL-CH3,CAL-SEC-3.6.2,PR1 Asreq,72.00,cm2,72.00,cm2,DERIVED_VALUE,CAL-P00821-TBL,HIGH,UNVERIFIED
